id_avaliacao;data;canal;regiao;loja;nota;categoria;texto_avaliacao;sentimento;tema_principal
AV0060;07/09/2023;site;Sudeste;VLR-RJ-02;4;vestuario;Atendimento nota 10! A vendedora foi muito atenciosa e me ajudou a escolher o tamanho certo.;positivo;atendimento
AV0061;24/07/2024;site;Norte;VLR-AP-01;2;vestuario;A costura soltou depois da primeira lavagem. Muito decepcionante.;negativo;qualidade do produto
AV0062;01/09/2024;loja_fisica;Sudeste;VLR-MG-01;4;acessorios;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0063;15/07/2024;site;Sul;VLR-RS-02;5;calcados;Vale muito o preço. Produto durável e bonito.;positivo;preço
AV0064;17/06/2024;app;Sudeste;VLR-ES-01;5;vestuario;Vale muito o preço. Produto durável e bonito.;positivo;preço
AV0065;24/11/2023;loja_fisica;Centro-Oeste;VLR-GO-02;5;vestuario;Caiu certinho! A tabela de tamanhos é muito precisa.;positivo;tamanho e caimento
AV0066;07/03/2023;loja_fisica;Nordeste;VLR-BA-03;4;calcados;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0067;03/02/2024;app;Centro-Oeste;VLR-GO-02;3;calcados;A numeração do calçado não bateu exatamente. Meu 38 usual ficou apertado.;neutro;tamanho e caimento
AV0068;05/03/2024;app;Sudeste;VLR-SP-05;5;calcados;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0069;22/03/2024;site;Sul;VLR-RS-03;5;vestuario;Ótimo custo-benefício. Produto de qualidade a um preço justo.;positivo;preço
AV0070;23/04/2024;loja_fisica;Sudeste;VLR-RJ-02;5;calcados;Fui muito bem atendida. A equipe conhece bem os produtos.;positivo;atendimento
AV0071;14/03/2024;loja_fisica;Sul;VLR-PR-01;4;vestuario;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0072;12/12/2023;loja_fisica;Nordeste;VLR-CE-01;4;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0073;23/02/2023;loja_fisica;Sudeste;VLR-SP-01;2;calcados;O processo de troca é muito lento e burocrático.;negativo;troca e devolução
AV0074;24/07/2023;site;Norte;VLR-MA-01;4;acessorios;Produto premium com um acabamento impecável. Adorei!;positivo;qualidade do produto
AV0075;12/08/2023;loja_fisica;Nordeste;VLR-BA-02;4;calcados;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0076;28/04/2023;site;Centro-Oeste;VLR-MS-01;2;acessorios;A qualidade não condiz com o valor cobrado. Produto muito frágil.;negativo;qualidade do produto
AV0077;23/07/2023;app;Norte;VLR-AC-01;5;vestuario;Produto premium com um acabamento impecável. Adorei!;positivo;qualidade do produto
AV0078;04/05/2023;loja_fisica;Nordeste;VLR-PB-01;5;calcados;Caiu certinho! A tabela de tamanhos é muito precisa.;positivo;tamanho e caimento
AV0079;16/12/2023;app;Centro-Oeste;VLR-GO-01;4;vestuario;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0080;15/04/2024;loja_fisica;Sudeste;VLR-ES-01;5;acessorios;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0081;05/07/2024;app;Nordeste;VLR-CE-02;5;calcados;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0082;30/03/2023;site;Sudeste;VLR-RJ-01;4;acessorios;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0083;30/01/2023;site;Nordeste;VLR-PI-01;4;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0084;02/09/2024;app;Nordeste;VLR-CE-02;3;vestuario;Demorou mais do que o prazo informado no site. Precisei acompanhar pelo SAC.;neutro;atendimento
AV0085;15/05/2024;app;Norte;VLR-AM-01;2;calcados;Botão saiu na primeira semana. Acabamento muito ruim.;negativo;qualidade do produto
AV0086;09/12/2024;loja_fisica;Sudeste;VLR-SP-05;1;vestuario;Me enviaram o produto de outra pessoa. Uma bagunça total.;negativo;atendimento
AV0087;17/07/2024;loja_fisica;Sul;VLR-RS-01;4;vestuario;Recebi em dois dias, muito mais rápido do que esperava. Ótimo serviço!;positivo;entrega
AV0088;20/11/2023;loja_fisica;Sudeste;VLR-SP-02;3;calcados;A numeração do calçado não bateu exatamente. Meu 38 usual ficou apertado.;neutro;tamanho e caimento
AV0089;21/06/2024;loja_fisica;Nordeste;VLR-CE-02;5;calcados;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0090;15/01/2023;site;Norte;VLR-RO-01;3;vestuario;Qualidade razoável para o preço. Não é ruim, mas já vi melhor.;neutro;preço
AV0091;17/05/2024;site;Norte;VLR-PA-02;4;calcados;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0092;22/02/2023;loja_fisica;Sul;VLR-RS-01;4;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0093;03/12/2024;site;Norte;VLR-PA-01;3;calcados;Tive que trocar de tamanho. A numeração parece inconsistente entre os modelos.;neutro;tamanho e caimento
AV0094;02/05/2023;site;Nordeste;VLR-BA-02;5;acessorios;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0095;29/03/2024;app;Sul;VLR-RS-02;4;vestuario;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0096;12/04/2023;loja_fisica;Sudeste;VLR-MG-02;5;acessorios;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0097;10/06/2023;app;Centro-Oeste;VLR-GO-02;2;calcados;Aguardei mais de 20 dias por um pedido com prazo de 7 dias.;negativo;entrega
AV0098;24/12/2024;app;Sudeste;VLR-SP-01;4;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0099;11/07/2024;app;Norte;VLR-AM-01;5;vestuario;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0100;01/09/2024;site;Centro-Oeste;VLR-GO-02;1;calcados;Fui humilhada na loja. Nunca mais coloco os pés aqui.;negativo;atendimento
AV0101;27/05/2024;loja_fisica;Sudeste;VLR-RJ-02;5;acessorios;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0102;10/09/2024;loja_fisica;Sudeste;VLR-RJ-02;1;calcados;Produto horrível. Desfiou logo na primeira semana de uso.;negativo;qualidade do produto
AV0103;19/11/2024;loja_fisica;Norte;VLR-MA-01;5;acessorios;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0104;12/10/2023;site;Norte;VLR-AP-01;2;calcados;Botão saiu na primeira semana. Acabamento muito ruim.;negativo;qualidade do produto
AV0105;17/11/2024;site;Sudeste;VLR-RJ-02;4;vestuario;Material excelente, muito bem acabado. Recomendo demais!;positivo;qualidade do produto
AV0106;17/07/2024;loja_fisica;Centro-Oeste;VLR-DF-01;4;acessorios;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0107;02/01/2023;loja_fisica;Norte;VLR-AC-01;3;acessorios;Produto agradável, mas o acabamento poderia ser melhor.;neutro;qualidade do produto
AV0108;22/02/2023;loja_fisica;Norte;VLR-RR-01;4;calcados;Atendimento excelente na loja. Voltarei com certeza!;positivo;atendimento
AV0109;07/10/2024;loja_fisica;Sul;VLR-RS-03;3;vestuario;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0110;27/04/2023;app;Centro-Oeste;VLR-GO-01;4;vestuario;Caiu certinho! A tabela de tamanhos é muito precisa.;positivo;tamanho e caimento
AV0111;01/03/2024;app;Nordeste;VLR-RN-01;5;calcados;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0112;04/06/2024;app;Nordeste;VLR-CE-01;2;acessorios;A costura soltou depois da primeira lavagem. Muito decepcionante.;negativo;qualidade do produto
AV0113;03/06/2024;site;Centro-Oeste;VLR-GO-03;5;acessorios;Chegou antes do prazo! Embalagem caprichada e produto em perfeito estado.;positivo;entrega
AV0114;16/05/2024;app;Centro-Oeste;VLR-MS-01;5;acessorios;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0115;26/11/2023;app;Sul;VLR-RS-02;3;vestuario;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0116;29/04/2024;loja_fisica;Sul;VLR-RS-02;5;vestuario;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0117;06/12/2023;app;Nordeste;VLR-RN-01;1;acessorios;Comprei online e o produto simplesmente desapareceu. Rastreamento parou.;negativo;entrega
AV0118;01/11/2024;app;Norte;VLR-PA-02;4;vestuario;Atendimento nota 10! A vendedora foi muito atenciosa e me ajudou a escolher o tamanho certo.;positivo;atendimento
AV0119;27/10/2024;site;Sudeste;VLR-MG-02;3;calcados;Esperava um tamanho M padrão mas veio maior do que o habitual.;neutro;tamanho e caimento
AV0120;06/02/2023;loja_fisica;Sul;VLR-RS-03;3;acessorios;Tive que trocar de tamanho. A numeração parece inconsistente entre os modelos.;neutro;tamanho e caimento
AV0121;10/10/2024;site;Centro-Oeste;VLR-MT-01;5;acessorios;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0122;27/02/2023;app;Nordeste;VLR-BA-01;5;vestuario;Recebi em dois dias, muito mais rápido do que esperava. Ótimo serviço!;positivo;entrega
AV0123;04/07/2023;loja_fisica;Centro-Oeste;VLR-MT-01;3;calcados;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0124;20/08/2024;app;Norte;VLR-AM-01;3;vestuario;Gostei do produto mas esperava mais pelo valor que paguei.;neutro;preço
AV0125;21/04/2024;app;Sudeste;VLR-ES-01;4;vestuario;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0126;10/03/2024;loja_fisica;Nordeste;VLR-MA-02;5;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;qualidade do produto
AV0127;26/01/2024;loja_fisica;Centro-Oeste;VLR-MT-01;4;vestuario;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0128;09/01/2023;site;Centro-Oeste;VLR-DF-01;3;vestuario;A numeração do calçado não bateu exatamente. Meu 38 usual ficou apertado.;neutro;tamanho e caimento
AV0129;27/12/2023;site;Sudeste;VLR-SP-04;5;calcados;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0130;04/10/2024;loja_fisica;Sul;VLR-PR-03;5;calcados;A qualidade do tecido é incrível, vale cada centavo.;positivo;qualidade do produto
AV0131;30/10/2023;loja_fisica;Sudeste;VLR-SP-03;4;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0132;07/10/2023;loja_fisica;Nordeste;VLR-CE-03;5;vestuario;Atendimento excelente na loja. Voltarei com certeza!;positivo;atendimento
AV0133;24/04/2024;site;Sudeste;VLR-RJ-01;3;calcados;Tive que trocar de tamanho. A numeração parece inconsistente entre os modelos.;neutro;tamanho e caimento
AV0134;24/07/2024;site;Nordeste;VLR-PE-01;5;acessorios;Chegou antes do prazo! Embalagem caprichada e produto em perfeito estado.;positivo;entrega
AV0135;19/11/2024;loja_fisica;Sudeste;VLR-RJ-03;4;vestuario;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0136;27/04/2024;site;Sudeste;VLR-SP-02;5;calcados;Produto premium com um acabamento impecável. Adorei!;positivo;qualidade do produto
AV0137;20/04/2024;loja_fisica;Sul;VLR-PR-02;4;calcados;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0138;29/04/2023;loja_fisica;Norte;VLR-TO-01;5;acessorios;Material excelente, muito bem acabado. Recomendo demais!;positivo;qualidade do produto
AV0139;08/06/2023;loja_fisica;Sul;VLR-RS-02;4;calcados;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0140;15/01/2024;site;Norte;VLR-TO-01;4;vestuario;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0141;12/01/2024;site;Sudeste;VLR-SP-02;5;acessorios;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0142;10/04/2024;loja_fisica;Centro-Oeste;VLR-GO-01;3;acessorios;Tive que trocar de tamanho. A numeração parece inconsistente entre os modelos.;neutro;tamanho e caimento
AV0143;09/05/2023;site;Sul;VLR-RS-01;1;vestuario;O atendente do SAC foi extremamente grosseiro e não resolveu nada.;negativo;atendimento
AV0144;27/08/2023;site;Norte;VLR-AM-01;4;calcados;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0145;07/07/2024;loja_fisica;Sul;VLR-PR-03;5;acessorios;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0146;01/09/2023;app;Norte;VLR-MA-01;1;vestuario;Fui humilhada na loja. Nunca mais coloco os pés aqui.;negativo;atendimento
AV0147;07/03/2023;loja_fisica;Norte;VLR-AC-01;1;vestuario;Cancelamento negado mesmo dentro do prazo legal. Absurdo.;negativo;troca e devolução
AV0148;21/09/2024;app;Centro-Oeste;VLR-MS-01;2;vestuario;Não recebi no prazo e o rastreamento ficou parado por dias.;negativo;entrega
AV0149;16/02/2024;app;Centro-Oeste;VLR-GO-01;5;acessorios;Ótimo custo-benefício. Produto de qualidade a um preço justo.;positivo;preço
AV0150;01/06/2023;app;Sudeste;VLR-SP-02;4;vestuario;Material excelente, muito bem acabado. Recomendo demais!;positivo;qualidade do produto
AV0151;03/09/2024;app;Centro-Oeste;VLR-DF-01;4;vestuario;Produto chegou no prazo e bem embalado. Exatamente como na foto.;positivo;entrega
AV0152;28/10/2024;app;Sul;VLR-PR-02;1;acessorios;O atendente do SAC foi extremamente grosseiro e não resolveu nada.;negativo;atendimento
AV0153;13/02/2024;app;Sudeste;VLR-RJ-01;2;calcados;SAC demorou 4 dias para me responder e não resolveu meu problema.;negativo;atendimento
AV0154;06/06/2023;loja_fisica;Norte;VLR-TO-01;3;vestuario;Qualidade ok mas não é tão boa quanto parece nas fotos.;neutro;qualidade do produto
AV0155;17/01/2024;site;Norte;VLR-PA-01;2;calcados;A costura soltou depois da primeira lavagem. Muito decepcionante.;negativo;qualidade do produto
AV0156;12/11/2024;site;Sul;VLR-PR-02;4;vestuario;Tamanho exatamente como descrito. Ficou ótimo.;positivo;tamanho e caimento
AV0157;03/06/2024;site;Norte;VLR-RO-01;4;vestuario;Equipe super prestativa e simpática. Me senti muito bem atendida.;positivo;atendimento
AV0158;13/10/2023;loja_fisica;Sudeste;VLR-MG-01;2;vestuario;Botão saiu na primeira semana. Acabamento muito ruim.;negativo;qualidade do produto
AV0159;04/11/2024;site;Sul;VLR-PR-01;5;calcados;Chegou antes do prazo! Embalagem caprichada e produto em perfeito estado.;positivo;entrega
AV0160;05/07/2023;loja_fisica;Nordeste;VLR-CE-03;5;vestuario;Fui muito bem atendida. A equipe conhece bem os produtos.;positivo;atendimento
AV0161;27/06/2024;loja_fisica;Sudeste;VLR-SP-01;5;vestuario;A moça da loja foi incrível, paciente e me deu ótimas sugestões.;positivo;atendimento
AV0162;04/08/2024;app;Sudeste;VLR-SP-05;2;calcados;Meu pedido chegou com 12 dias de atraso e sem nenhuma comunicação.;negativo;entrega
AV0163;29/03/2024;loja_fisica;Nordeste;VLR-PI-01;4;vestuario;Escolhi pelo guia de medidas e ficou perfeito. Recomendo seguir a tabela.;positivo;tamanho e caimento
AV0164;24/04/2023;loja_fisica;Sul;VLR-PR-02;3;vestuario;Demorou mais do que o prazo informado no site. Precisei acompanhar pelo SAC.;neutro;entrega
AV0165;05/09/2024;app;Sul;VLR-PR-01;4;vestuario;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0166;24/10/2023;loja_fisica;Nordeste;VLR-BA-03;3;calcados;O produto chegou, mas demorou quase o dobro do prazo previsto.;neutro;entrega
AV0167;21/12/2024;app;Norte;VLR-PA-02;3;vestuario;Qualidade razoável para o preço. Não é ruim, mas já vi melhor.;neutro;qualidade do produto
AV0168;21/03/2023;loja_fisica;Norte;VLR-AC-01;5;vestuario;Entrega dentro do prazo e rastreamento funcionou perfeitamente.;positivo;entrega
AV0169;19/02/2024;app;Sudeste;VLR-RJ-02;5;vestuario;A qualidade do tecido é incrível, vale cada centavo.;positivo;qualidade do produto
AV0170;06/01/2024;site;Nordeste;VLR-PB-01;4;calcados;Nunca me decepcionei com a qualidade dos produtos da Valore. Sempre perfeito.;positivo;qualidade do produto
AV0171;14/11/2023;loja_fisica;Norte;VLR-AP-01;4;vestuario;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0172;06/06/2024;site;Centro-Oeste;VLR-DF-01;1;vestuario;Me enviaram o produto de outra pessoa. Uma bagunça total.;negativo;atendimento
AV0173;30/05/2023;app;Centro-Oeste;VLR-GO-02;5;vestuario;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0174;05/10/2024;app;Nordeste;VLR-PI-01;5;vestuario;Comprei durante a promoção e foi um excelente negócio.;positivo;preço
AV0175;04/10/2024;site;Sul;VLR-RS-01;4;acessorios;Entrega rápida e produto embalado com cuidado. Aprovadíssimo!;positivo;entrega
AV0176;28/08/2024;loja_fisica;Sudeste;VLR-SP-05;4;calcados;A qualidade do tecido é incrível, vale cada centavo.;positivo;qualidade do produto
AV0177;21/10/2023;loja_fisica;Sul;VLR-PR-01;4;vestuario;Produto de ótima qualidade, superou minhas expectativas!;positivo;qualidade do produto
AV0178;08/08/2024;app;Sul;VLR-PR-01;3;vestuario;Qualidade razoável para o preço. Não é ruim, mas já vi melhor.;neutro;qualidade do produto
AV0179;18/12/2023;app;Sul;VLR-PR-01;2;vestuario;Não recebi no prazo e o rastreamento ficou parado por dias.;negativo;entrega
AV0180;16/09/2024;loja_fisica;Nordeste;VLR-PE-02;5;vestuario;Atendimento excelente na loja. Voltarei com certeza!;positivo;atendimento
AV0181;23/02/2023;site;Centro-Oeste;VLR-GO-03;3;calcados;O produto chegou, mas demorou quase o dobro do prazo previsto.;neutro;entrega
AV0182;03/11/2024;loja_fisica;Centro-Oeste;VLR-GO-03;5;vestuario;Caiu certinho! A tabela de tamanhos é muito precisa.;positivo;tamanho e caimento
AV0183;02/11/2024;loja_fisica;Centro-Oeste;VLR-GO-03;5;vestuario;Vale muito o preço. Produto durável e bonito.;positivo;preço
